utterance,name,h,m,s
Welcome back.,Joe Rogan,00, 00,00
Here we go again.,Elon Musk,00, 00,02
Great to see you and congratulations.,Joe Rogan,00, 00,02
Thank you.,Elon Musk,00, 00,04
"You will never forget what is going on in the world when you think about when your child is born. You will know for the rest of this child’s life, you were born during a weird time.",Joe Rogan,00, 00,05
That’s for sure.,Elon Musk,00, 00,16
That is for sure. Probably the weirdest that I can remember.,Joe Rogan,00, 00,17
"Yeah. Yeah, and he was born on May the fourth.",Elon Musk,00, 00,22
"That’s hilarious, too.",Joe Rogan,00, 00,26
Yeah.,Elon Musk,00, 00,27
May the fourth be with him.,Joe Rogan,00, 00,27
"Yes, exactly.",Elon Musk,00, 00,28
It has to be.,Joe Rogan,00, 00,29
Hopefully. I sure hope so.,Elon Musk,00, 00,30
Perfect.,Joe Rogan,00, 00,31
Yes.,Elon Musk,00, 00,31
I mean that was the perfect day for you. How do you say the name? Is it placeholder?,Joe Rogan,00, 00,32
"First of all, my partner is the one that actually mostly came up with the name.",Elon Musk,00, 00,41
Congratulations to her.,Joe Rogan,00, 00,44
"Yeah, yeah. She’s great at names. I mean it’s just X, the letter X, and then the ae is like pronounced ash. Yeah, and then eight, 12 is my contribution.",Elon Musk,00, 00,46
"Oh, why are eight, 12?",Joe Rogan,00, 01,04
"Archangel 12, the precursor to the SR71. Coolest plane ever. True.",Elon Musk,00, 01,05
"I agree with you. I don’t know, I’m not familiar with it. I know what the SR71 is.",Joe Rogan,00, 01,12
"Yeah, yeah, yeah.",Elon Musk,00, 01,16
"Yeah, I know what that is.",Joe Rogan,00, 01,17
The SR71 came from a CIA program called Archangel. It’s the Archangel project.,Elon Musk,00, 01,18
"Oh wow, what a dope looking plane.",Joe Rogan,00, 01,24
Yeah.,Elon Musk,00, 01,27
"Oh, okay. I got it.",Joe Rogan,00, 01,28
Yeah.,Elon Musk,00, 01,29
"Well, as a person who’s a very much into aerial travel as you are, that’s perfect.",Joe Rogan,00, 01,29
It’s pretty great.,Elon Musk,00, 01,36
Yeah. Pretty great. Does it feel strange to have a child while this craziness is going? Does it feel like you’ve had children before? Is this any weirder?,Joe Rogan,00, 01,37
"Actually, I think it’s better being older and having a kid. I appreciate it more. Yeah, babies are awesome.",Elon Musk,00, 01,50
They are pretty awesome.,Joe Rogan,00, 01,59
They’re awesome. Yeah.,Elon Musk,00, 02,00
"When I didn’t have any of my own, I would see other people’s kids and I didn’t not like them, but I wasn’t drawn to them. But now when I see little people’s kids, I’m like, Oh, I think of them as like these little love packages.",Joe Rogan,00, 02,01
"Yeah, little love bugs.",Elon Musk,00, 02,13
"Yeah. It’s just you think of them differently when you see them come out and then grow and then eventually start talking to you, like your whole idea what a baby is, is very different.",Joe Rogan,00, 02,14
Yeah.,Elon Musk,00, 02,23
"Now, as you get older and get to appreciate it as a mature, fully formed adult, it must be really pretty wonderful.",Joe Rogan,00, 02,23
